YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,7,10,99.5,4.87,6.3,3.49,2.81,244.19,6.12,7.85,4.17,3.69,244.38,71,30.47
2021,7,11,99.48,4.87,5.8,3.3,2.48,258.69,6.13,7.14,4.85,2.28,259.25,77.06,29.57
2021,7,12,99.36,3.19,4.44,0.95,3.49,239.94,4.16,6.12,1.59,4.52,240.25,79.25,29.88
2021,7,13,99.18,4.78,6.82,1.82,5,129.88,6.23,9.3,3.01,6.3,130.5,74.81,31.3
2021,7,14,99.29,6.51,8.44,4.3,4.13,187.62,7.8,10.03,5.9,4.13,188.06,79.44,30.23
2021,7,15,99.37,2.2,4.15,0.22,3.92,194.62,3.12,5.79,0.38,5.41,193.44,79.5,30.5
2021,7,16,99.46,3.02,6.16,1.18,4.98,183.75,3.95,7.73,1.14,6.59,181.19,77.38,30.99
2021,7,17,99.71,6.27,8.71,4.07,4.65,241.06,7.73,10,5.7,4.3,241.38,79.88,29.93
2021,7,18,99.64,7.59,10.29,5.33,4.96,253.12,9.59,11.88,7.43,4.45,253.5,79.25,29.18
2021,7,19,99.4,9.37,11.38,5.82,5.55,246.12,11.68,13.48,8.13,5.35,246.56,76.62,29.51
2021,7,20,99.46,10.53,13.36,8.5,4.86,243.38,13.11,15.7,11.04,4.66,243.88,77.38,28.87
2021,7,21,99.41,10.36,12.54,7.98,4.56,248.12,12.8,15.09,10.42,4.67,248.81,75.81,29.22
2021,7,22,99.2,7.43,9.32,5.77,3.55,245,9.13,11.05,7.74,3.3,245.56,76,29.8
2021,7,23,99.25,6.48,7.88,5.12,2.76,246.5,8.06,9.21,7.31,1.9,247.06,77.31,29.6
2021,7,24,99.48,5.96,7.83,4.62,3.21,247.31,7.48,8.85,6.39,2.46,247.81,80.44,28.94
2021,7,25,99.49,7.18,9.23,5,4.23,250.62,9.07,10.67,7.01,3.67,251.12,81.88,28.82
2021,7,26,99.4,8.9,11.45,6.81,4.65,240.75,11.27,13.81,9.34,4.47,241.19,78.44,28.47
2021,7,27,99.25,9.86,12.23,7.77,4.47,236.19,12.34,14.46,10.49,3.97,236.62,76.62,28.61
2021,7,28,99.3,10.52,12.47,8.3,4.17,232.62,13.1,14.92,11.02,3.91,233.12,76.25,28.68
2021,7,29,99.44,10.88,13.86,8.34,5.52,233.88,13.63,16.56,11.02,5.55,234.44,78.38,28.1
2021,7,30,99.53,10.43,12.74,8.23,4.5,241.5,12.93,14.81,10.71,4.09,242.06,75.31,28.62
2021,7,31,99.66,10.54,13.52,8.49,5.02,244.12,13.04,15.7,11,4.7,244.75,75.25,28.41
2021,8,1,99.6,10.25,12.56,8.04,4.52,245.31,12.7,14.73,10.62,4.11,245.75,77.06,27.89
2021,8,2,99.61,8.62,11.44,5.35,6.08,233.94,10.73,13.12,7.27,5.84,234.31,75.69,28.38
2021,8,3,99.74,7.59,9.93,5.38,4.55,236,9.43,11.43,7.11,4.31,236.38,76.81,28.39
2021,8,4,99.74,7.34,9.8,4.66,5.14,239.56,9.09,11.04,6.51,4.53,239.94,75.19,28.84
2021,8,5,99.64,6.34,8.48,4.43,4.05,236.81,7.91,9.3,6.5,2.8,237.19,73.75,28.7
2021,8,6,99.61,5.7,7.49,3.51,3.98,235.69,7.2,8.22,6.05,2.16,236.06,73.56,29.01
2021,8,7,99.73,5.23,6.64,3.77,2.88,229.06,6.6,7.52,5.84,1.68,229.31,72.38,29.37
2021,8,8,99.92,4.89,6.93,2.67,4.26,227,6.24,7.66,4.65,3.01,227.19,71.62,28.86
2021,8,9,100.02,5.35,7.21,3.17,4.04,229.94,6.81,7.84,5.55,2.3,230.12,71.88,28.44
2021,8,10,99.97,5.77,8.54,3.13,5.4,238.44,7.3,9.36,5.42,3.94,238.56,71.31,28.3
2021,8,11,99.92,6.88,9.38,4.67,4.71,241.62,8.58,10.38,6.71,3.67,242.06,71.5,28.43
2021,8,12,100,6.48,8.95,4.45,4.5,242.19,8.01,9.88,6.33,3.55,242.5,72.75,28.69
2021,8,13,99.87,6.42,8.5,4.25,4.24,237.31,7.91,9.3,6.39,2.91,237.62,72.38,28.73
2021,8,14,99.68,7.33,9.36,5.2,4.16,235.94,9.07,10.41,7.33,3.08,236.38,71.88,28.53
2021,8,15,99.74,6.84,8.56,4.58,3.98,234.62,8.43,9.62,6.34,3.29,235,71.56,28.8
